KATEGORI BAWAH 446,Tahun Permohonan,NOPAC,NAMA SYARIKAT / PENYEDIA,ALAMAT,ADD1,ADD2,ADD3,DAERAH,KAPASITI,SEKTOR,X,Y
MAJIKAN,2025,PAC/10401/2025/107768,LONG BOW MANUFACTURING SDN BHD,"JA 9039, JLN. DEBUNGA 2, TAMAN DEBUNGA","JA 9039, JLN. DEBUNGA 2",TAMAN DEBUNGA,,JASIN,6,C - Pembuatan,2.141612061,102.4204606
MAJIKAN,2022,PAC/10401/2022/57483,LONG BOW MANUFACTURING SDN BHD,"JA 9008, JALAN DEBUNGA 2, TAMAN DEBUNGA","JA 9008, JALAN DEBUNGA 2, TAMAN DEBUNGA",,,JASIN,6,C - Pembuatan,2.14224091,102.4209119
MAJIKAN,2022,PAC/10401/2022/61213,MVANCE ENGINEERING SDN BHD,"JB 4468, JALAN DEBUNGA 2, TAMAN DEBUNGA MERLIMAU","JB 4468, JALAN DEBUNGA 2",TAMAN DEBUNGA MERLIMAU,,MELAKA TENGAH,12,C - Pembuatan,2.144431388,102.4212255
MAJIKAN,2023,PAC/10401/2023/87856,PASARAYA SEJATI (MERLIMAU) SDN BHD,"JB 7 (LOT 5497), JALAN DEBUNGA 1,, TAMAN DEBUNGA","JB 7 (LOT 5497), JALAN DEBUNGA 1,",TAMAN DEBUNGA,,JASIN,10,"G - Perdagangan borong dan runcit, pembaikan kenderaan bermotor dan motosikal",2.144448528,102.4230294
MAJIKAN,2022,PAC/10401/2022/61428,MVANCE ENGINEERING SDN BHD,"JB 4467, JALAN DEBUNGA 2, TAMAN DEBUNGA MERLIMAU","JB 4467, JALAN DEBUNGA 2",TAMAN DEBUNGA MERLIMAU,,MELAKA TENGAH,12,C - Pembuatan,2.144481229,102.4212511
MAJIKAN,2022,PAC/10401/2022/65964,EUREKA RESOURCES SDN BHD,"NO JB 4487, JALAN DEBUNGA 3, TAMAN DEBUNGA, 77300 MERLIMAU MELAKA","NO JB 4487, JALAN DEBUNGA 3, TAMAN DEBUNGA, 77300 MERLIMAU MELAKA",,,JASIN,12,C - Pembuatan,2.145076681,102.4216303
MAJIKAN,2023,PAC/10401/2023/76835,PENTA RECYCLING (M) SDN BHD,"JB 4456 JALAN DEBUNGA 2, TAMAN DEBUNGA FASA 3","JB 4456 JALAN DEBUNGA 2, TAMAN DEBUNGA FASA 3",,,JASIN,8,"E - Bekalan air; pembetungan, pengurusan sisa dan aktiviti pemulihan",2.145190215,102.4213148
MAJIKAN,2024,PAC/10401/2024/91572,RUBBER LEISURE PRODUCTS SDN BHD,"JC8170, JALAN SERKAM INDAH, TAMAN SERKAM INDAH","JC8170, JALAN SERKAM INDAH, TAMAN SERKAM INDAH",,,JASIN,6,C - Pembuatan,2.147618201,102.390949
MAJIKAN,2024,PAC/10401/2024/96875,RUBBER LEISURE PRODUCTS SDN BHD,"JB254, JALAN SERKAM MAJU 2, TAMAN SERKAM MAJU","JB254, JALAN SERKAM MAJU 2, TAMAN SERKAM MAJU",,,JASIN,6,C - Pembuatan,2.149461366,102.3858345
MAJIKAN,2024,PAC/10401/2024/104995,LATEX LEISURE SDN BHD,"JB317, JALAN SERKAM MAJU5,, TAMAN SERKAM MAJU","JB317, JALAN SERKAM MAJU5,",TAMAN SERKAM MAJU,,JASIN,6,C - Pembuatan,2.149733074,102.3845263
MAJIKAN,2024,PAC/10401/2024/104996,LATEX LEISURE SDN BHD,"JB318 JALAN SERKAM MAJU 5, TAMAN SERKAM MAJU",JB318 JALAN SERKAM MAJU 5,TAMAN SERKAM MAJU,,JASIN,5,C - Pembuatan,2.149798076,102.3845353
MAJIKAN,2021,PAC/10401/2021/21519,LATEX LEISURE SDN BHD,"JB318,JALAN SERKAM MAJU 5,TMN SERKAM MAJU","JB318,JALAN SERKAM MAJU 5,TMN SERKAM MAJU",,,JASIN,5,C - Pembuatan,2.149819848,102.3845071
MAJIKAN,2021,PAC/10401/2021/21469,LATEX LEISURE SDN BHD,"JB317,JALAN SERKAM MAJU 5,TMN SERKAM MAJU","JB317,JALAN SERKAM MAJU 5,TMN SERKAM MAJU",,,JASIN,6,C - Pembuatan,2.149875145,102.3845228
MAJIKAN,2024,PAC/10401/2024/93782,RUBBER LEISURE PRODUCTS SDN BHD,"JB9084, JALAN SR 2, TAMAN SERKAM RIA","JB9084, JALAN SR 2, TAMAN SERKAM RIA",,,JASIN,9,C - Pembuatan,2.150090488,102.3872683
MAJIKAN,2021,PAC/10401/2021/21537,LATEX LEISURE SDN BHD,"JB362,JLN SERKAM MAJU 6,TAMAN SERKAM MAJU","JB362,JLN SERKAM MAJU 6,TAMAN SERKAM MAJU",,,JASIN,5,C - Pembuatan,2.150129546,102.3839509
MAJIKAN,2024,PAC/10401/2024/105386,LATEX LEISURE SDN BHD,"JB362, JALAN SERKAM MAJU 6, TAMAN SERKAM MAJU","JB362, JALAN SERKAM MAJU 6",TAMAN SERKAM MAJU,,JASIN,5,C - Pembuatan,2.150148895,102.383943
MAJIKAN,2020,PAC/10401/2020/3044,RUBBER LEISURE PRODUCTS SDN BHD,"JB9084,JALAN SERKAM RIA 2,TAMAN SERKAM RIA","JB9084,JALAN SERKAM RIA 2,TAMAN SERKAM RIA",,,JASIN,12,C - Pembuatan,2.150200381,102.3873166
MAJIKAN,2020,PAC/10401/2020/3046,RUBBER LEISURE PRODUCTS SDN BHD,"JB9280,LORONG SR7/3,TAMAN SERKAM RIA","JB9280,LORONG SR7/3,TAMAN SERKAM RIA",,,JASIN,10,C - Pembuatan,2.150580297,102.3852922
MAJIKAN,2025,PAC/10401/2025/106391,LATEX LEISURE SDN BHD,"JB2127 Jalan Seri 15, Taman Seri Serkam",JB2127 Jalan Seri 15,Taman Seri Serkam,,JASIN,6,C - Pembuatan,2.150645103,102.3917805
MAJIKAN,2021,PAC/10401/2021/21543,LATEX LEISURE SDN BHD,"JB2127,JLN SERI 15,TMN SERI SERKAM 77300 MERLIMAU MELAKA","JB2127,JLN SERI 15,TMN SERI SERKAM 77300 MERLIMAU MELAKA",,,JASIN,6,C - Pembuatan,2.150652178,102.3917652
